post,file,classification,destination_category,confidence,action
2022-02-18_CaGhO4iJLmP,daikuinterior_CaGhO4iJLmP_1.jpg,furnitur-detail,furnitur-detail,0.6099,moved
2022-02-18_CaGhO4iJLmP,daikuinterior_CaGhO4iJLmP_2.jpg,furnitur-detail,furnitur-detail,0.6953,moved
2022-02-18_CaGhO4iJLmP,daikuinterior_CaGhO4iJLmP_3.jpg,furnitur-detail,furnitur-detail,0.6377,moved
2022-02-18_CaGhO4iJLmP,daikuinterior_CaGhO4iJLmP_4.jpg,furnitur-detail,furnitur-detail,0.4747,moved
2022-02-18_CaGhO4iJLmP,daikuinterior_CaGhO4iJLmP_5.jpg,furnitur-detail,furnitur-detail,0.3574,moved
2022-02-18_CaGhO4iJLmP,daikuinterior_CaGhO4iJLmP_6.jpg,kamar-tidur,furnitur-detail,0.6425,moved
2022-02-18_CaGhO4iJLmP,daikuinterior_CaGhO4iJLmP_7.jpg,furnitur-detail,furnitur-detail,0.6684,moved
2022-02-18_CaGhO4iJLmP,daikuinterior_CaGhO4iJLmP_8.jpg,furnitur-detail,furnitur-detail,0.4483,moved
2022-02-18_CaGp0FwpRQ5,daikuinterior_CaGp0FwpRQ5_0.jpg,furnitur-detail,furnitur-detail,0.5133,moved
2022-02-18_CaGp0FwpRQ5,daikuinterior_CaGp0FwpRQ5_1.jpg,perlu-ditinjau,perlu-ditinjau,0.3144,moved
2022-02-18_CaGpe8BpE6y,daikuinterior_CaGpe8BpE6y_0.jpg,furnitur-detail,furnitur-detail,0.7542,moved
2022-02-18_CaHH5x_p6Al,daikuinterior_CaHH5x_p6Al_0.jpg,furnitur-detail,furnitur-detail,0.7938,moved
2022-02-18_CaHImkEpbUG,daikuinterior_CaHImkEpbUG_0.jpg,ruang-usaha,ruang-usaha,0.9748,moved
2022-02-18_CaHImkEpbUG,daikuinterior_CaHImkEpbUG_1.jpg,ruang-usaha,ruang-usaha,0.8236,moved
2022-02-18_CaHIs1Vpw2V,daikuinterior_CaHIs1Vpw2V_0.jpg,kamar-tidur,kamar-tidur,0.7666,moved
2022-02-18_CaHIs1Vpw2V,daikuinterior_CaHIs1Vpw2V_1.jpg,furnitur-detail,kamar-tidur,0.8841,moved
2022-02-18_CaHIs1Vpw2V,daikuinterior_CaHIs1Vpw2V_2.jpg,kamar-tidur,kamar-tidur,0.5942,moved
2022-02-18_CaHIs1Vpw2V,daikuinterior_CaHIs1Vpw2V_3.jpg,kamar-tidur,kamar-tidur,0.7832,moved
2022-02-18_CaHp2g9Jy-J,daikuinterior_CaHp2g9Jy-J_0.jpg,furnitur-detail,furnitur-detail,0.9555,moved
2022-02-19_CaI_SXvJ34L,daikuinterior_CaI_SXvJ34L_0.jpg,furnitur-detail,furnitur-detail,0.9835,moved
2022-02-19_CaI_UGOpLT7,daikuinterior_CaI_UGOpLT7_0.jpg,furnitur-detail,furnitur-detail,0.6925,moved
2022-02-19_CaJABsOpCeJ,daikuinterior_CaJABsOpCeJ_0.jpg,dapur,dapur,0.7155,moved
2022-02-19_CaJABsOpCeJ,daikuinterior_CaJABsOpCeJ_1.jpg,ruang-usaha,dapur,0.7182,moved
2022-02-19_CaJABsOpCeJ,daikuinterior_CaJABsOpCeJ_2.jpg,dapur,dapur,0.6052,moved
2022-02-19_CaJABsOpCeJ,daikuinterior_CaJABsOpCeJ_3.jpg,ruang-usaha,dapur,0.6045,moved
2022-02-19_CaJABsOpCeJ,daikuinterior_CaJABsOpCeJ_4.jpg,dapur,dapur,0.8263,moved
2022-02-19_CaJABsOpCeJ,daikuinterior_CaJABsOpCeJ_5.jpg,dapur,dapur,0.9175,moved
2022-02-19_CaJABsOpCeJ,daikuinterior_CaJABsOpCeJ_6.jpg,dapur,dapur,0.7829,moved
2022-02-19_CaKIbF3JjMB,daikuinterior_CaKIbF3JjMB_0.jpg,furnitur-detail,furnitur-detail,0.8426,moved
2022-02-19_CaKIbF3JjMB,daikuinterior_CaKIbF3JjMB_1.jpg,furnitur-detail,furnitur-detail,0.4633,moved
2022-02-19_CaKIbF3JjMB,daikuinterior_CaKIbF3JjMB_2.jpg,furnitur-detail,furnitur-detail,0.7982,moved
2022-02-21_CaO430WpbXW,daikuinterior_CaO430WpbXW_0.jpg,furnitur-detail,furnitur-detail,0.8616,moved
2022-02-21_CaO430WpbXW,daikuinterior_CaO430WpbXW_1.jpg,perlu-ditinjau,perlu-ditinjau,0.2437,moved
2022-02-21_CaOKIW3pnaV,daikuinterior_CaOKIW3pnaV_0.jpg,furnitur-detail,furnitur-detail,0.9071,moved
2022-02-21_CaOKM1HphW0,daikuinterior_CaOKM1HphW0_0.jpg,kamar-tidur,kamar-tidur,0.9223,moved
2022-02-22_CaQteUYpEY9,daikuinterior_CaQteUYpEY9_0.jpg,furnitur-detail,furnitur-detail,0.9425,moved
2022-02-22_CaQzQYjJJfF,daikuinterior_CaQzQYjJJfF_0.jpg,perlu-ditinjau,perlu-ditinjau,0.3616,moved
2022-02-24_CaWEtl1JxpS,daikuinterior_CaWEtl1JxpS_0.jpg,furnitur-detail,furnitur-detail,0.7035,moved
2022-02-24_CaWExq9pKTu,daikuinterior_CaWExq9pKTu_0.jpg,furnitur-detail,furnitur-detail,0.838,moved
2022-02-24_CaWEzYipCkV,daikuinterior_CaWEzYipCkV_0.jpg,furnitur-detail,furnitur-detail,0.5154,moved
2022-02-24_CaWxCmaJ1Jz,daikuinterior_CaWxCmaJ1Jz_0.jpg,kamar-tidur,kamar-tidur,0.5957,moved
2022-02-25_CaYkDNYpb4u,daikuinterior_CaYkDNYpb4u_0.jpg,kamar-tidur,kamar-tidur,0.9207,moved
2022-02-25_CaYkEgLp8EJ,daikuinterior_CaYkEgLp8EJ_0.jpg,furnitur-detail,furnitur-detail,0.6898,moved
2022-02-27_Cadt99pJl3G,daikuinterior_Cadt99pJl3G_0.jpg,furnitur-detail,furnitur-detail,0.5175,moved
2022-02-27_Cadt_nMJ1Nw,daikuinterior_Cadt_nMJ1Nw_0.jpg,kamar-tidur,kamar-tidur,0.8234,moved
2022-02-28_CagH1vbJxBj,daikuinterior_CagH1vbJxBj_0.jpg,promosi,promosi,0.9949,moved
2022-03-01_Cai8PsWJm2m,daikuinterior_Cai8PsWJm2m_0.jpg,furnitur-detail,furnitur-detail,0.9461,moved
2022-03-02_CalUu9QJndO,daikuinterior_CalUu9QJndO_0.jpg,ruang-usaha,ruang-usaha,0.5385,moved
2022-03-02_CalUu9QJndO,daikuinterior_CalUu9QJndO_1.jpg,ruang-usaha,ruang-usaha,0.9347,moved
2022-03-03_Can7DpppmZZ,daikuinterior_Can7DpppmZZ_0.jpg,promosi,promosi,0.9933,moved
2022-03-03_Caof70-pyqy,daikuinterior_Caof70-pyqy_0.jpg,furnitur-detail,furnitur-detail,0.5033,moved
2022-03-03_Caof70-pyqy,daikuinterior_Caof70-pyqy_1.jpg,ruang-usaha,furnitur-detail,0.8421,moved
2022-03-03_Caof70-pyqy,daikuinterior_Caof70-pyqy_2.jpg,ruang-usaha,furnitur-detail,0.8636,moved
2022-03-03_Caof70-pyqy,daikuinterior_Caof70-pyqy_3.jpg,furnitur-detail,furnitur-detail,0.6969,moved
2022-03-03_CaoMFKjpyyT,daikuinterior_CaoMFKjpyyT_0.jpg,ruang-usaha,ruang-usaha,0.8913,moved
2022-03-03_CaoMFKjpyyT,daikuinterior_CaoMFKjpyyT_1.jpg,ruang-usaha,ruang-usaha,0.7591,moved
